,Road,Name,Average Chainage,Start_LRP,End_LRP,Total Cargo,Total People,Total Transport,Total Transport Weight,SourceSink Cargo Weight,SourceSink People Weight
0,N2,Katchpur-Tarabo (Int with R201),1.1565,LRPS,LRP002,6710.0,16598.0,23308.0,0.014740721908325207,0.04909420820041558,0.07719928186714542
1,N1,Katchpur - Madanpur (Left)N105 (Left),10.3495,LRP009,LRP012,8205.0,14361.0,22566.0,0.014271457464530058,0.0600324855863502,0.06679472749090706
2,N1,Madanpur - Langalband (Left)Z1061 (Left),13.9355,LRP012,LRP013,8205.0,14361.0,22566.0,0.014271457464530058,0.0600324855863502,0.06679472749090706
3,N1,Langalband - Mograpara Chowrasta (Left)Z1089 (Left),17.9895,LRP013,LRP013,8205.0,14361.0,22566.0,0.014271457464530058,0.0600324855863502,0.06679472749090706
4,N8,Jatrabari-Jurain (int.with R810),0.6375,LRPS,LRPS,3677.0,17946.0,21623.0,0.013675074215879351,0.026903040767947556,0.08346899098613036
5,N1,Jatrabari - Int.with Z1101 (Left) (Left),0.411,LRPS,LRPS,7880.0,11356.0,19236.0,0.012165459354236472,0.05765459919810354,0.05281811331987609
6,N1,Int.with Z1101 - Signboard (Left) R111 (Left),2.4985,LRPS,LRPS,7880.0,11356.0,19236.0,0.012165459354236472,0.05765459919810354,0.05281811331987609
7,N2,Barpa(Int. with Z1090 LGED Road)-Bhulta (Int.with R202),8.5935,LRP006,LRP011,6556.0,11192.0,17748.0,0.011224400739186364,0.04796745588106178,0.05205532971786309
8,N2,Bhulta (Int.with R202)-Bhulta (Int.with R203),11.544,LRP011,LRP011,6556.0,11192.0,17748.0,0.011224400739186364,0.04796745588106178,0.05205532971786309
9,N2,Tarabo(Int with R 201)-Barpa(Int. with Z1090 LGED Road),4.1945,LRP002,LRP006,6815.0,10430.0,17245.0,0.01090628751111499,0.04986244841815681,0.0485111766402173
10,N1,Shimrail - Katchpur (Left)N2 (Left),7.971999999999999,LRPS,LRP009,4556.5,11442.0,15998.5,0.010117961191451039,0.03333796716321812,0.053218109598980476
11,N1,Signboard - Shimrail (Left)R110 (Left),5.678,LRPS,LRPS,4831.5,11035.0,15866.5,0.01003448018527724,0.03535002487634991,0.05132510395252137
12,N1,Barabkunda Z1087-Fouzderhat Z1016 (Left),217.404,LRP209,LRP225,7554.0,7317.0,14871.0,0.009404894263716499,0.05526939623635459,0.03403224156054362
13,N1,Baroirdala Z1086- Barabkunda Z1087 (Left),200.5025,LRP197,LRP209,7554.0,7317.0,14871.0,0.009404894263716499,0.05526939623635459,0.03403224156054362
14,N1,Daudkandi Bridge- Daudkandi Z1062 (Left),37.3685,LRP033,LRP033,6516.5,7972.5,14489.0,0.00916330529130444,0.04767845122772103,0.03708105040883341
15,N1,Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Left),33.6035,LRP031,LRP033,6516.5,7972.5,14489.0,0.00916330529130444,0.04767845122772103,0.03708105040883341
16,N1,Meghna Bridge Satrt-Bhaberchar (Left) z1063 (Left),27.25,LRP022,LRP031,6516.5,7972.5,14489.0,0.00916330529130444,0.04767845122772103,0.03708105040883341
17,N1,Mograpara(Int.with Z1089)-Meghna Bridge West End (Left) (Left),21.804,LRP013,LRP022,6516.5,7972.5,14489.0,0.00916330529130444,0.04767845122772103,0.03708105040883341
18,N1,Fazilpur Z1081 - Muhuriganj Z1032 (Left),159.6335,LRP160,LRP164,7712.5,6424.0,14136.5,0.0089403730589085,0.05642907313646873,0.029878791825192322
19,N1,Feni (Int.with N104) - Feni Shahid Minar (Int.with Z1034) (Left),147.349,LRP147,LRP152,7712.5,6424.0,14136.5,0.0089403730589085,0.05642907313646873,0.029878791825192322
