,Unnamed: 0.1,Unnamed: 0,index,road,km,type,name,length,condition,lat,lon,model_type,geometry,FLOODCAT,CycloonCat
0,0,0,0,N1,0.0,sourcesink,sourcesink,0.0,,23.7060278,90.443333,sourcesink,POINT (90.443333 23.7060278),0,2
1,1,1,0,N1,1.8,Box Culvert,.,11.3,A,23.69873866,90.4588610799999,bridge,POINT (90.4588610799999 23.69873866),0,2
2,2,2,1,N1,4.925,Box Culvert,.,6.6,A,23.6946638363636,90.4877749181818,bridge,POINT (90.4877749181818 23.6946638363636),0,2
3,3,3,2,N1,8.976,PC Girder Bridge,KANCHPUR PC GIRDER BRIDGE,397.0,C,23.7050598925675,90.5232141463513,bridge,POINT (90.5232141463513 23.7050598925675),0,2
4,4,4,3,N1,10.543,Box Culvert,KATCHPUR BOX CULVERT,8.0,B,23.6964000869109,90.5350989801047,bridge,POINT (90.5350989801047 23.6964000869109),0,2
5,5,5,4,N1,10.88,Box Culvert,NOYAPARA CULVERT,6.3,A,23.6943906141361,90.5375740774869,bridge,POINT (90.5375740774869 23.6943906141361),0,2
6,6,6,5,N1,10.897,Box Culvert,ADUPUR CULVERT,6.3,A,23.6943023869158,90.5377073719626,bridge,POINT (90.5377073719626 23.6943023869158),0,2
7,7,7,6,N1,11.296,Box Culvert,NAYABARI KASPUR BOX CULVERT,8.3,A,23.6923601518691,90.5409183897196,bridge,POINT (90.5409183897196 23.6923601518691),0,2
8,8,8,7,N1,11.808,Box Culvert,NAYABARI BOX CULVERT,10.6,B,23.6909119315151,90.5454624957575,bridge,POINT (90.5454624957575 23.6909119315151),0,2
9,9,9,8,N1,12.239,Box Culvert,KHAS PARA BOX CULVERT,9.3,A,23.6884123260204,90.5485585290816,bridge,POINT (90.5485585290816 23.6884123260204),0,2
10,10,10,9,N1,12.253,Box Culvert,DAWAN BAG BOX CULVERT,6.1,A,23.6883197331632,90.548649807653,bridge,POINT (90.548649807653 23.6883197331632),0,2
11,11,11,10,N1,12.66,PC Girder Bridge,MADAN PUR (R,26.3,A,23.685583027027,90.551207981081,bridge,POINT (90.551207981081 23.685583027027),0,2
12,12,12,11,N1,12.688,PC Girder Bridge,Madanpur Bridge(R,27.5,A,23.6853619779342,90.5513591765258,bridge,POINT (90.5513591765258 23.6853619779342),0,2
13,13,13,12,N1,13.574,Box Culvert,KAWTALA BOX CULVERT,11.9,A,23.6778035,90.5558194349999,bridge,POINT (90.5558194349999 23.6778035),0,2
14,14,14,13,N1,15.465,Box Culvert,MALIBAG BOX CULVERT,5.55,B,23.6633090696149,90.563856994797,bridge,POINT (90.563856994797 23.6633090696149),0,2
15,15,15,14,N1,17.134,RCC Girder Bridge,Langalbandh Bridge.,159.52,C,23.6544257051136,90.576730225,bridge,POINT (90.576730225 23.6544257051136),0,2
16,16,16,15,N1,17.222,PC Girder Bridge,Darikandi Bridge (R,20.45,A,23.65397226,90.57741042,bridge,POINT (90.57741042 23.65397226),0,2
17,17,17,16,N1,17.222,PC Girder Bridge,Darikandi Bridge (L,20.5,A,23.65397226,90.57741042,bridge,POINT (90.57741042 23.65397226),0,2
18,18,18,17,N1,17.722,PC Girder Bridge,DARIKANDI BRIDGE (R,20.0,B,23.6515705663716,90.5814943946902,bridge,POINT (90.5814943946902 23.6515705663716),0,2
19,19,19,18,N1,17.722,PC Girder Bridge,DARIKANDI BRIDGE (L,20.0,B,23.6515705663716,90.5814943946902,bridge,POINT (90.5814943946902 23.6515705663716),0,2
20,20,20,19,N1,18.093,PC Girder Bridge,SONARKALI BRIDGE(L,24.5,B,23.6497543993548,90.5845490085483,bridge,POINT (90.5845490085483 23.6497543993548),0,2
21,21,21,20,N1,18.093,PC Girder Bridge,SONARKALI BRIDGE(R,24.5,B,23.6497543993548,90.5845490085483,bridge,POINT (90.5845490085483 23.6497543993548),0,2
22,22,22,21,N1,18.742,PC Girder Bridge,MOLLIK PARA BRIDGE (R,40.5,C,23.6459685949152,90.5892119813559,bridge,POINT (90.5892119813559 23.6459685949152),0,2
23,23,23,22,N1,19.76,Box Culvert,KRIBORDI BOX CULVERT,6.0,A,23.6379543715384,90.5936673976923,bridge,POINT (90.5936673976923 23.6379543715384),0,2
24,24,24,23,N1,20.397,Box Culvert,SHADIPUR BOX CULVERT,10.4,B,23.63380522,90.597394085,bridge,POINT (90.597394085 23.63380522),3,2
25,25,25,24,N1,21.184,PC Girder Bridge,MARIKHALL BRIDGE,89.2,A,23.6284668507692,90.6023015723077,bridge,POINT (90.6023015723077 23.6284668507692),3,2
26,26,26,25,N1,22.328,Box Culvert,SANGAKADI CULVERT,5.5,B,23.6198832229508,90.6083528852459,bridge,POINT (90.6083528852459 23.6198832229508),0,2
27,27,27,26,N1,22.596,PC Girder Bridge,Ashariarchar Bridge(R,224.82,B,23.6176407964705,90.6095506105882,bridge,POINT (90.6095506105882 23.6176407964705),2,2
28,28,28,27,N1,23.081,PC Girder Bridge,ASHIR CHAR (R,116.8,B,23.613587384385,90.6109029561497,bridge,POINT (90.6109029561497 23.613587384385),2,2
29,29,29,28,N1,24.393,PC Box,MEGHNA BRIDGE,900.0,C,23.6027595885583,90.6155316965675,bridge,POINT (90.6155316965675 23.6027595885583),0,2
30,30,30,29,N1,26.115,Box Culvert,TATULTALA CULVERT,5.6,A,23.5929818827893,90.6279699370919,bridge,POINT (90.6279699370919 23.5929818827893),2,2
31,31,31,30,N1,26.452,Box Culvert,BAILAKANDI CULVERT,5.5,A,23.5908088547468,90.6302368598101,bridge,POINT (90.6302368598101 23.5908088547468),2,2
32,32,32,31,N1,27.12,Box Culvert,MALUAKANDI CULVEDRT,5.6,A,23.58631812254,90.6345094207093,bridge,POINT (90.6345094207093 23.58631812254),2,2
33,33,33,32,N1,28.315,PC Girder Bridge,BHATIR CHAR BRIDGE,163.5,A,23.5779800248475,90.6419193089939,bridge,POINT (90.6419193089939 23.5779800248475),2,2
34,34,34,33,N1,29.842,Box Culvert,VITIKANDA - ANAR PUR CULVERT,34.7,A,23.5660033956521,90.6486237247282,bridge,POINT (90.6486237247282 23.5660033956521),2,2
35,35,35,34,N1,30.908,PC Girder Bridge,ALIPURA BRIDGE (L,26.3,B,23.5591910296296,90.6557475703703,bridge,POINT (90.6557475703703 23.5591910296296),2,2
36,36,36,35,N1,32.121,PC Girder Bridge,BOBARCHAR BRIDGE(L,28.9,A,23.5517421907216,90.6643538752577,bridge,POINT (90.6643538752577 23.5517421907216),2,2
37,37,37,36,N1,32.121,PC Girder Bridge,BOBAIRCHAR BRIDGE(R,28.9,A,23.5517421907216,90.6643538752577,bridge,POINT (90.6643538752577 23.5517421907216),2,2
38,38,38,37,N1,32.777,Box Culvert,PURRANBUICHE BOX CULVERT,9.1,A,23.5477377446428,90.6690554098214,bridge,POINT (90.6690554098214 23.5477377446428),2,2
39,39,39,38,N1,32.796,Box Culvert,NOYAPARA,5.2,A,23.5476246437499,90.669192065625,bridge,POINT (90.669192065625 23.5476246437499),2,2
40,40,40,39,N1,33.591,PC Girder Bridge,Madhya Baushia Bridge(L,72.49,A,23.54268543125,90.6748292125,bridge,POINT (90.6748292125 23.54268543125),2,2
41,41,41,40,N1,34.111,Box Culvert,BOCTAR KANDI BOX CULVERT,5.1,C,23.5393910168,90.6784577888,bridge,POINT (90.6784577888 23.5393910168),2,2
42,42,42,41,N1,35.181,Box Culvert,.,9.5,A,23.5327751898617,90.6858701078341,bridge,POINT (90.6858701078341 23.5327751898617),2,2
43,43,43,42,N1,35.408,PC Girder Bridge,BORAKANDI BRIDGE(L,24.5,B,23.5313996605222,90.68744892596,bridge,POINT (90.68744892596 23.5313996605222),2,2
44,44,44,43,N1,35.408,RCC Girder Bridge,CHAR BOWSHIA BRIDGE(R,24.5,B,23.5313996605222,90.68744892596,bridge,POINT (90.68744892596 23.5313996605222),2,2
45,45,45,44,N1,35.707,Box Culvert,CHAR BOUSHEA (2,8.4,A,23.5301519626506,90.6897951837349,bridge,POINT (90.6897951837349 23.5301519626506),2,2
46,46,46,45,N1,37.01,PC Box,Daud Kandi Bridge,1408.8,C,23.5303844733,90.7024402743,bridge,POINT (90.7024402743 23.5303844733),2,2
47,47,47,46,N1,39.304,RCC Girder Bridge,BALDHA KHAL RCC GIDER BRIDGE,21.8,C,23.5324186,90.7242807234,bridge,POINT (90.7242807234 23.5324186),2,2
48,48,48,47,N1,39.86,Box Culvert,MAIS PARA BOX CULVERT,6.0,B,23.5317587831999,90.7291780095,bridge,POINT (90.7291780095 23.5317587831999),2,2
49,49,49,48,N1,42.936,RCC Girder Bridge,Shahid Nagor Bridge,16.5,C,23.5298050611,90.75825325,bridge,POINT (90.75825325 23.5298050611),2,2
50,50,50,49,N1,45.164,Box Culvert,SARKAR BARI CULVERT,3.9,C,23.5307655282208,90.7800797251533,bridge,POINT (90.7800797251533 23.5307655282208),2,2
51,51,51,50,N1,46.871,Slab Culvert,AMIRABATH SLAB CULVERT,6.5,C,23.5308683409424,90.7918075171727,bridge,POINT (90.7918075171727 23.5308683409424),2,2
52,52,52,51,N1,48.384,RCC Bridge,Ginlatoly,15.9,C,23.5318234765,90.8110155135,bridge,POINT (90.8110155135 23.5318234765),2,2
53,53,53,52,N1,50.558,Box Culvert,RAIPUR BOX CULVERT,12.2,A,23.5329743291,90.8309774761999,bridge,POINT (90.8309774761999 23.5329743291),2,2
54,54,54,53,N1,52.313,Box Culvert,AITAL BANGA BOX CULVERT,4.5,C,23.5229166652,90.8442186132,bridge,POINT (90.8442186132 23.5229166652),2,2
55,55,55,54,N1,56.006,RCC Girder Bridge,Illiot bazar Bridge,28.9,C,23.510087758207,90.8757204035353,bridge,POINT (90.8757204035353 23.510087758207),2,2
56,56,56,55,N1,58.838,Box Culvert,KHAT GHOR BOX CULVERT,5.9,B,23.5060024341,90.9021745389,bridge,POINT (90.9021745389 23.5060024341),3,2
57,57,57,56,N1,60.83,Box Culvert,BAKRA BOX CULVERT,3.0,B,23.5056131416,90.9214660218,bridge,POINT (90.9214660218 23.5056131416),3,2
58,58,58,57,N1,63.098,Slab Culvert,MATIA BAZER,6.0,B,23.5024077848,90.9432418928,bridge,POINT (90.9432418928 23.5024077848),3,3
59,59,59,58,N1,63.538,Box Culvert,SONAPUR BOX CULVERT,3.0,A,23.5013551924,90.9473844088999,bridge,POINT (90.9473844088999 23.5013551924),3,3
60,60,60,59,N1,66.178,Slab Culvert,KARON KHAL SLAB CULVERT,4.6,B,23.495896314,90.9715772516,bridge,POINT (90.9715772516 23.495896314),2,3
