id,road,km,type,name,length,condition,lat,lon,model_type,FLOODCAT,CycloonCat,Total Cargo,Total People,Total Transport,Total Transport Weight,SourceSink Cargo Weight,SourceSink People Weight
0,N1,0.0,sourcesink,Jatrabari - Int.with Z1101 (Left) (Left),0.0,,23.7060278,90.443333,sourcesink,,,7880.0,11356.0,19236.0,0.0121654593542364,0.048458908321649,0.0385735005893362
1,N1,1.8,Box Culvert,.,11.3,A,23.69873866,90.4588610799999,bridge,0.0,2.0,,,,,,
2,N1,2.4985,sourcesink,Int.with Z1101 - Signboard (Left) R111 (Left),0.0,,23.6973608,90.4616667,sourcesink,,,7880.0,11356.0,19236.0,0.0121654593542364,0.048458908321649,0.0385735005893362
3,N1,4.925,Box Culvert,.,6.6,A,23.6946638363636,90.4877749181818,bridge,0.0,2.0,,,,,,
4,N1,5.678,sourcesink,Signboard - Shimrail (Left)R110 (Left),0.0,,23.6959163,90.4981941,sourcesink,,,4831.5,11035.0,15866.5,0.0100344801852772,0.0297118293852852,0.0374831436248085
5,N1,7.971999999999999,sourcesink,Shimrail - Katchpur (Left)N2 (Left),0.0,,23.7045833,90.5188327,sourcesink,,,4556.5,11442.0,15998.5,0.010117961191451,0.0280206872801515,0.0388656211468109
6,N1,8.976,PC Girder Bridge,KANCHPUR PC GIRDER BRIDGE,397.0,C,23.7050598925675,90.5232141463513,bridge,0.0,2.0,,,,,,
7,N1,10.3495,sourcesink,Katchpur - Madanpur (Left)N105 (Left),0.0,,23.6966386,90.5348052,sourcesink,,,8205.0,14361.0,22566.0,0.01427145746453,0.0504575308095343,0.0487807363476098
8,N1,10.543,Box Culvert,KATCHPUR BOX CULVERT,8.0,B,23.6964000869109,90.5350989801047,bridge,0.0,2.0,,,,,,
9,N1,10.88,Box Culvert,NOYAPARA CULVERT,6.3,A,23.6943906141361,90.5375740774869,bridge,0.0,2.0,,,,,,
10,N1,10.897,Box Culvert,ADUPUR CULVERT,6.3,A,23.6943023869158,90.5377073719626,bridge,0.0,2.0,,,,,,
11,N1,11.296,Box Culvert,NAYABARI KASPUR BOX CULVERT,8.3,A,23.6923601518691,90.5409183897196,bridge,0.0,2.0,,,,,,
