,Road,Name,Average Chainage,Start_LRP,End_LRP,Total Cargo,Total People
0,N1,Jatrabari - Int.with Z1101 (Left) (Left),0.411,LRPS,LRPS,7880.0,11356.0
1,N1,Int.with Z1101 - Signboard (Left) R111 (Left),2.4985,LRPS,LRPS,7880.0,11356.0
2,N1,Signboard - Shimrail (Left)R110 (Left),5.678,LRPS,LRPS,4831.5,11035.0
3,N1,Shimrail - Katchpur (Left)N2 (Left),7.9719999999999995,LRPS,LRP009,4556.5,11442.0
4,N1,Katchpur - Madanpur (Left)N105 (Left),10.349499999999999,LRP009,LRP012,8205.0,14361.0
5,N1,Madanpur - Langalband (Left)Z1061 (Left),13.935500000000001,LRP012,LRP013,8205.0,14361.0
6,N1,Langalband - Mograpara Chowrasta (Left)Z1089 (Left),17.9895,LRP013,LRP013,8205.0,14361.0
7,N1,Mograpara(Int.with Z1089)-Meghna Bridge West End (Left) (Left),21.804000000000002,LRP013,LRP022,6516.5,7972.5
8,N1,Meghna Bridge Satrt-Bhaberchar (Left) z1063 (Left),27.25,LRP022,LRP031,6516.5,7972.5
9,N1,Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Left),33.6035,LRP031,LRP033,6516.5,7972.5
10,N1,Daudkandi Bridge- Daudkandi Z1062 (Left),37.3685,LRP033,LRP033,6516.5,7972.5
11,N1,Daudkandi Z1062 - Pennai Z1053 (Left),41.927,LRP033,LRP043,6099.5,5371.0
12,N1,Pennai Z1053- Gouripur (Int.with Z1044) (Left),46.306,LRP043,LRP043,6099.5,5371.0
13,N1,Gouripur (Int.with Z1044) - Eliotganj Z1042 (Left),51.3505,LRP043,LRP043,6099.5,5371.0
14,N1,Eliotganj Z1042- Madhaya Z1017 (Left),58.8775,LRP043,LRP043,6099.5,5371.0
15,N1,Madhaya Z1017 - Chandina Z1022 (Left),65.958,LRP043,LRP067,6099.5,5371.0
16,N1,Chandina Z1022 - Nimsar (Int.with Z1219 Z1028) (Left),72.6135,LRP067,LRP076,6472.5,7344.0
17,N1,Nimsar (Int.with Z1219 Z1028) - Mainamati N102 (Left),78.7175,LRP076,LRP076,6472.5,7344.0
18,N1,Mainamati N102- Int.with Z1029 (Left),83.8715,LRP076,LRP076,6472.5,7344.0
19,N1,Int.with Z1029 - Int.with Z1052 (Left),86.6315,LRP076,LRP076,6472.5,7344.0
20,N1,Int.with Z1052 - Changani (Kotbari) (Left),88.388,LRP076,LRP091,6778.0,5009.5
21,N1,Changani (Kotbari) - Paduar Bazar Biswa Rd. R140 (Left),90.4965,LRP091,LRP093,6778.0,5009.5
22,N1,Paduar Bazar Biswa Rd. R140 - Miabazar Z1046 (Left),98.731,LRP093,LRP105,6778.0,5009.5
23,N1,Miabazar Z1046 - Chauddagram(Int.with Z1045) (Left),112.7885,LRP105,LRP105,6778.0,5009.5
24,N1,Chauddagram(Int.with Z1045)-Md. Ali bazar (Int.with Z1031) (Left),129.2835,LRP105,LRP142,4899.5,3770.5
25,N1,Md. Ali bazar (Int.with Z1031)-Int.with Z1031 (Left),139.56,LRP142,LRP143,4899.5,3770.5
26,N1,Int.with Z1031 - Elahiganj (Feni) Z1030 (Left),141.64249999999998,LRP143,LRP146,6685.5,6503.0
27,N1,Elahiganj (Feni) Z1030- Feni (Int.with N104) (Left),144.2215,LRP146,LRP147,6685.5,6503.0
28,N1,Feni (Int.with N104) - Feni Shahid Minar (Int.with Z1034) (Left),147.349,LRP147,LRP152,7712.5,6424.0
29,N1,Feni Shahid Minar( Int.with Z1034)-Fazilpur (Z1081) (Left),153.487,LRP152,LRP160,6555.5,4728.5
