,Link no,Name,Start location,Start location,Start location,End location,End location,End location,Length,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Total,Total,Total,Traffic
,Unnamed: 0_level_1,Unnamed: 1_level_1,LRP,Offset,Chainage,LRP,Offset,Chainage,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT)
0,N8-1,Jatrabari-Jurain (int.with R810),LRPS,0,0.0,LRPS,1275,1.275,1.275,43.0,1387.0,2247.0,1342.0,3168.0,802.0,531.0,3028.0,5951.0,3124.0,1699.0,3551.0,0.0,21623.0,5250.0,26873.0,26873.0
1,N8-2,Jurain (int.with R810)-Postagola Bridge,LRPS,1275,1.275,LRPS,1733,1.733,0.458,52.0,692.0,482.0,1378.0,770.0,995.0,113.0,1406.0,6122.0,909.0,18.0,537.0,0.0,12919.0,555.0,13474.0,13474.0
2,N8-3,Postagola Bridge-Int. with N802,LRPS,1733,1.733,LRP004c,0,4.748,3.015,52.0,692.0,482.0,1378.0,770.0,995.0,113.0,1406.0,6122.0,909.0,18.0,537.0,0.0,12919.0,555.0,13474.0,13474.0
3,N8-4,Int. with N802- Baorvita (Int.with Z5069),LRP004c,0,4.748,LRP010,475,10.675,5.927,52.0,692.0,482.0,1378.0,770.0,995.0,113.0,1406.0,6122.0,909.0,18.0,537.0,0.0,12919.0,555.0,13474.0,13474.0
4,N8-5,Baorvita (Int.with Z5069)-Nimtali (Int.with Z8005),LRP010,475,10.675,LRP015,795,15.995,5.32,14.0,707.0,598.0,1117.0,804.0,388.0,201.0,688.0,2218.0,674.0,62.0,801.0,0.0,7409.0,863.0,8272.0,8272.0
5,N8-6,Nimtali (Int.with Z8005)-Int.with Z8203,LRP015,795,15.995,LRP018,250,18.45,2.455,22.0,562.0,312.0,992.0,538.0,450.0,246.0,1058.0,2756.0,947.0,130.0,1349.0,0.0,7883.0,1479.0,9362.0,9362.0
6,N8-7,Int.with Z8203-Int.with Z8003 (Hashara),LRP018,250,18.45,LRP018,652,18.852,0.402,19.0,613.0,480.0,885.0,434.0,463.0,93.0,681.0,1565.0,571.0,55.0,454.0,0.0,5804.0,509.0,6313.0,6313.0
7,N8-8,Int.with Z8003 (Hashara)-Srinagar(Int.with R820),LRP018,652,18.852,LRP025,20,25.22,6.368,13.0,529.0,432.0,984.0,489.0,547.0,71.0,659.0,1904.0,575.0,72.0,282.0,0.0,6203.0,354.0,6557.0,6557.0
8,N8-9,Srinagar (Int.with R820)-Mawa (Int. with R812),LRP025,20,25.22,LRP032,1519,33.719,8.499,13.0,529.0,432.0,984.0,489.0,547.0,71.0,659.0,1904.0,575.0,72.0,282.0,0.0,6203.0,354.0,6557.0,6557.0
